OBJECTID,CaseID,City,State,Country,Number_of_Victim_Fatalities,Total_Number_of_Fatalities,Number_of_Victims_Injured,Total_Number_of_Victims,Date,Day_of_Week,Average_Shooter_Age,Shooter_Sex,Shooter_Race,Type_of_Gun_General,Number_of_Shotguns,Number_of_Rifles,Number of Handguns,Total_Number_of_Guns,Number_of_Automatic_Guns,Number_of_Semi_Automatic_Guns,Fate_of_Shooter_at_the_scene,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s-General,Possible Motive - General,History_of_Mental_Illness_General,Military_Experience,Class,lat,log
84,81,Grundy,Virginia,US,3,3,3,6,02-01-16,Wednesday,43,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Failure,No,Unknown,MS,37.27537712,-82.09877234
85,82,Tucson,Arizona,US,3,4,0,3,02-10-28,Monday,41,Male,Some other race,Handgun,0,0,5,5,0,1,Deceased,Suicide,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Failure,No,Unknown,MS,32.15358905,-110.9677647
86,83,Cleveland,Ohio,US,1,1,2,3,03-05-09,Friday,62,Male,Asian American,Handgun,0,0,2,2,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Legal dispute,No,Unknown,MS,41.47657557,-81.68051502
87,84,Meridian,Mississippi,US,6,7,8,14,03-07-08,Tuesday,48,Male,White American or European American,Multiple guns,1,1,0,2,0,1,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,No,Unknown,MM,32.38455246,-88.68967949
88,85,Chicago,Illinois,US,6,7,0,6,03-08-27,Wednesday,36,Male,Some other race,Handgun,0,0,1,1,0,1,Deceased,Killed,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,No,Unknown,MM,41.83928045,-87.68818145
89,86,Birchwood,Wisconsin,US,6,6,2,8,04-11-21,Sunday,36,Male,Asian American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,No,Park/Wildness,Place of recreation,Social,Social dispute,No,Yes,MM,45.65773714,-91.55077175
90,87,Columbus,Ohio,US,4,5,7,11,04-12-08,Wednesday,25,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Killed,No,Entertainment venue,Place of recreation,General public,Multiple motives,Yes,Unknown,MM,39.98861445,-82.98904135
91,153,Tyler,Texas,US,2,3,4,6,05-02-24,Thursday,43,Male,Some other race,Rifle,0,1,0,1,0,1,Deceased,Killed,No,Government facility,Local government,Family,Domestic dispute,Unknown,Unknown,MS,32.3154272,-95.30501087
92,88,Brookfield,Wisconsin,US,7,8,4,11,05-03-12,Saturday,44,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Place of worship,Place of residency,Racial/Religious group,Political/Religious ideals,No,Unknown,MM,43.06396691,-88.12299758
93,89,Red Lake,Minnesota,US,9,10,5,14,05-03-21,Monday,16,Male,Native American or Alaska Native,Multiple guns,1,0,2,3,0,1,Deceased,Suicide,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,Yes,Unknown,SPK,47.87067289,-95.00529009
94,90,Goleta,California,US,7,8,0,7,06-01-30,Monday,44,Female,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown,SPK,34.43606107,-119.8593619
95,91,Seattle,Washington,US,6,7,2,8,06-03-25,Saturday,28,Male,White American or European American,Multiple guns,1,0,1,2,0,1,Deceased,Suicide,No,Residential home/Neighborhood,Place of recreation,General public,Multiple motives,No,Unknown,MM,47.62199575,-122.323646
96,92,Essex Junction,Vermont,US,2,2,2,4,06-08-24,Thursday,26,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Residential home/Neighborhood,Place of residency,Romantic partner,Domestic dispute,Yes,Unknown,MS,44.49022039,-73.11400628
97,93,Hillsborough,North Carolina,US,1,1,2,3,06-08-30,Wednesday,18,Male,Some other race,Multiple guns,1,1,0,2,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,36.04099857,-79.09701201
98,94,Pittsburgh,Pennsylvania,US,0,0,5,5,06-09-17,Sunday,18,Male,Black American or African American,Handgun,0,0,2,2,0,1,Escaped,Not applicable,Yes,College/University/Adult education,Place of recreation,Students/Classmates/Teacher,Social dispute,Unknown,Unknown,MS,40.43948548,-79.97631581
99,95,Lancaster,Pennsylvania,US,5,6,5,10,06-10-02,Monday,32,Male,White American or European American,Multiple guns,1,1,1,3,0,1,Deceased,Suicide,Yes,Primary school,None,Students/Classmates/Teacher,Multiple motives,Unknown,Unknown,MM,40.04214385,-76.30100872
100,96,Salt Lake City,Utah,US,5,6,4,9,07-02-12,Monday,18,Male,White American or European American,Multiple guns,1,0,1,2,0,0,Deceased,Killed,No,Retail/ Wholesale/Services facility,Place of recreation,General public,Political/Religious ideals,Unknown,Unknown,MM,40.77787404,-111.9312168
101,97,Gresham,Oregon,US,0,0,10,10,07-04-10,Tuesday,15,Male,Some other race,Rifle,0,1,0,1,0,0,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,No,Unknown,MS,45.50216511,-122.4412759
102,98,Blacksburg,Virginia,US,32,33,17,49,07-04-16,Monday,23,Male,Asian American,Handgun,0,0,2,2,0,2,Deceased,Suicide,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MM,37.22995471,-80.42768677
103,99,Crandon,Wisconsin,US,6,7,1,7,07-10-07,Sunday,20,Male,White American or European American,Rifle,0,1,0,1,0,1,Deceased,Suicide,No,Residential home/Neighborhood,Place of recreation,Social,Social dispute,No,Unknown,MM,45.56871416,-88.89729022
104,100,Cleveland,Ohio,US,0,1,4,4,07-10-11,Thursday,14,Male,White American or European American,Handgun,0,0,2,2,0,0,Deceased,Suicide,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,Yes,Unknown,MS,41.47657557,-81.68051502
105,101,Saginaw,Michigan,US,0,0,4,4,07-10-25,Thursday,15,Male,Black American or African American,Rifle,0,1,0,1,0,0,Escaped,Not applicable,Yes,Primary school,Place of residency,Students/Classmates/Teacher,Social dispute,No,Unknown,MS,43.41929117,-83.95032759
106,102,Omaha,Nebraska,US,8,9,4,12,07-12-05,Wednesday,19,Male,White American or European American,Rifle,0,1,0,1,0,1,Deceased,Suicide,No,Retail/Wholesale/Services facility,Place of residency,General public,Mental illness,Yes,Unknown,MM,41.265922,-96.05381421
107,103,Arvada,Colorado,US,4,5,5,9,07-12-09,Sunday,24,Male,White American or European American,Multiple guns,0,1,2,3,0,3,Deceased,Suicide,No,Place of worship,Place of residency,Racial/Religious group,Political/Religious ideals,No,Unknown,SPK,39.81087474,-105.173715
108,104,Las Vegas,Nevada,US,0,0,6,6,07-12-11,Tuesday,18,Male,Black American or African American,Handgun,0,0,2,2,0,1,Escaped,Not applicable,Yes,Street/Highway,Place of schooling,Students/Classmates/Teacher,Social dispute,No,Unknown,MS,36.18931923,-115.3264875
109,105,Carnation,Washington,US,6,6,0,6,07-12-24,Monday,29,Male/Female,White American or European American,Handgun,0,0,2,2,0,2,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Family,Financial dispute,No,Unknown,MM,47.64628742,-121.9088524
110,106,Kirkwood,Missouri,US,5,6,2,7,08-02-07,Thursday,52,Male,Black American or African American,Handgun,0,0,2,2,0,1,Deceased,Killed,No,Government facility,Place of business/employment,Government,Legal dispute,No,Unknown,MM,38.57889169,-90.42023754
111,107,DeKalb,Illinois,US,5,6,17,22,08-02-14,Thursday,27,Male,White American or European American,Multiple guns,1,0,3,4,0,1,Deceased,Suicide,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MM,41.93172129,-88.74814853
112,108,Henderson,Kentucky,US,6,7,1,7,08-06-25,Wednesday,25,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,No,Unknown,MM,37.84040411,-87.57853755
113,109,Phoenix,Arizona,US,0,0,3,3,08-07-24,Thursday,24,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Harassment,No,Unknown,MS,33.57145875,-112.0904854
114,110,Conway,Arkansas,US,2,0,1,3,08-10-26,Sunday,19.5,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of residency,Students/Classmates/Teacher,Unknown,No,Unknown,MS,35.08130744,-92.43278275
115,111,Covina,California,US,9,10,2,11,08-12-24,Wednesday,45,Male,White American or European American,Handgun,0,0,4,4,0,4,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Multiple motives,No,Unknown,MM,34.09026669,-117.8819958
116,112,Geneva,Alabama,US,10,11,6,16,09-03-10,Tuesday,28,Male,White American or European American,Multiple guns,1,2,1,4,0,3,Deceased,Suicide,No,Residential home/Neighborhood and Street/Highway,Place of residency,Family,Legal dispute,No,Unknown,SPK,31.04367594,-85.8763466
117,113,Santa Clara,California,US,5,6,1,6,09-03-29,Sunday,42,Male,Asian American,Handgun,0,0,2,2,0,2,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,No,Unknown,MM,37.36463172,-121.9679315
118,114,Carthage,North Carolina,US,8,8,2,10,09-03-29,Sunday,45,Male,White American or European American,Multiple guns,1,0,2,3,0,1,Arrested,Not applicable,No,Medical/Care,Place of business/employment,Romantic partner,Multiple motives,Yes,Unknown,MM,35.33985609,-79.41381725
119,115,Binghamton,New York,US,13,14,4,17,09-04-03,Friday,41,Male,Asian American,Handgun,0,0,2,2,0,2,Deceased,Suicide,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MM,42.10140103,-75.90922294
120,116,Fort Hood,Texas,US,13,13,32,45,09-11-05,Thursday,39,Male,White American or European American,Handgun,0,0,3,3,0,2,Arrested,Not applicable,No,Military facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Political/Religious ideals,Yes,Yes,MM,31.13814354,-97.77797804
121,117,Lakewood,Washington,US,4,5,0,4,09-11-29,Sunday,37,Male,Black American or African American,Handgun,0,0,2,2,0,1,Deceased,Killed,No,Restaurant/Cafe,None,Government,Mental illness,Yes,Unknown,MM,47.16267579,-122.5296574
122,118,Huntsville,Alabama,US,3,0,3,6,10-02-12,Friday,44,Female,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,No,Unknown,MS,34.72827538,-86.6723055
123,119,Manchester,Connecticut,US,8,9,2,10,10-08-03,Tuesday,34,Male,Black American or African American,Handgun,0,0,2,2,0,2,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Unknown,Unknown,MM,41.78013821,-72.51918655
124,120,Tucson,Arizona,US,6,6,13,19,11-01-08,Saturday,22,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Retail/Wholesale/Services facility,None,Government,Multiple motives,Yes,Unknown,MM,32.15358905,-110.9677647
125,121,Youngstown,Ohio,US,1,1,11,12,11-02-06,Sunday,20,Male,Black American or African American,Handgun,0,0,3,3,0,3,Arrested,Not applicable,Yes,College/University/Adult education,Place of recreation,Social,Social dispute,Unknown,Unknown,MS,41.09933958,-80.64631705
126,122,Opelika,Alabama,US,1,1,3,4,11-04-06,Wednesday,34,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Romantic partner,Domestic dispute,Yes,Unknown,MS,32.66240106,-85.37706931
127,123,Grand Rapids,Michigan,US,7,8,2,9,11-07-07,Thursday,34,Male,Black American or African American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Romantic partner,Domestic dispute,Yes,Unknown,SPK,42.96920434,-85.66008902
128,124,Carson City,Nevada,US,4,5,7,11,11-09-06,Tuesday,32,Male,Some other race,Rifle,0,1,0,1,1,0,Deceased,Suicide,No,Restaurant/Cafe,None,General public,Mental illness,Yes,Unknown,MM,39.16464203,-119.7763025
129,125,Seal Beach,California,US,8,8,1,9,11-10-12,Friday,41,Male,White American or European American,Handgun,0,0,3,3,0,2,Escaped,Not applicable,No,Retail/Wholesale/Services facility,Place of business/employment,Romantic partner,Domestic dispute,Yes,Unknown,MM,33.75432632,-118.0715378
130,168,Birmingham,Alabama,US,5,5,0,5,12-01-29,Sunday,17.7,Male,Black American or African American,Handgun,0,0,3,3,0,2,Arrested,Not applicable,No,Residential home/Neighborhood,None,General public,Unknown,No,Unknown,MM,33.5282865,-86.79550448
131,126,Norcross,Georgia,US,4,5,0,4,12-02-22,Wednesday,59,Male,Asian American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Retail/Wholesale/Services facility,Place of business/employment,Family,Financial dispute,Yes,Unknown,MM,33.94104379,-84.20985979
132,127,Chardon,Ohio,US,3,3,3,6,12-02-27,Monday,17,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Unknown,Yes,Unknown,MS,41.58025541,-81.20812625
133,128,Oakland,California,US,7,7,3,10,12-04-02,Monday,43,Male,Asian American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,Unknown,MM,37.79176806,-122.2153171
134,129,Tulsa,Oklahoma,US,3,3,2,5,12-04-06,Friday,25,Male,White American or European American,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Arrested,Not applicable,No,Street/Highway,None,Racial/Religious group,Race,No,Unknown,MS,36.13543238,-95.91316117
135,130,Seattle,Washington  ,US,5,6,1,6,12-05-30,Wednesday,40,Male,White American or European American,Handgun,0,0,2,2,0,2,Deceased,Suicide,No,Retail/Wholesale/Services facility,Place of business/employment,General public,Multiple motives,Yes,Yes,MM,47.62199575,-122.323646
136,131,Auburn,Alabama,US,3,3,3,6,12-06-09,Saturday,22,Male,Black American or African American,Handgun,0,0,1,1,0,1,Escaped,Not applicable,No,Residential home/Neighborhood,Place of recreation,Social,Social dispute,Unknown,Unknown,MS,32.60598014,-85.48989253
137,132,Denver,Colorado,US,12,12,58,70,12-07-20,Friday,24,Male,White American or European American,Multiple guns,1,1,2,4,0,3,Arrested,Not applicable,No,Entertainment venue,Place of recreation,General public,Multiple motives,Yes,Unknown,MM,39.72941874,-104.9825207
138,133,Oak Creek,Wisconsin,US,6,7,4,10,12-08-05,Sunday,40,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Place of worship,None,Racial/Religious group,Muliple motives,No,Yes,MM,42.88027442,-87.90087079
139,134,Minneapolis,Minnesota,US,6,7,2,8,12-09-27,Thursday,36,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Unknown,MM,44.96358722,-93.26783687
140,135,Miami,Florida,US,0,0,15,15,12-09-28,Sunday,17,Male,Black American or African American,Handgun,0,0,2,2,Unknown,Unknown,Arrested,Not applicable,No,Entertainment venue,Place of recreation,Students/Classmates/Teacher,Social dispute,Unknown,Unknown,MS,25.79653943,-80.20840397
141,136,Brookfield,Wisconsin,US,3,4,4,7,12-10-21,Sunday,45,Male,Black American or African American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Retail/Wholesale/Services facility,Place of business/employment,Romantic partner,Domestic dispute,No,Yes,MS,43.06396691,-88.12299758
142,137,Happy Valley,Oregon,US,2,3,1,3,12-12-11,Tuesday,22,Male,Some other race,Rifle,0,1,0,1,0,1,Deceased,Suicide,No,Retail/Wholesale/Services facility,Place of recreation,General public,Unknown,No,Unknown,MS,45.44853107,-122.5440133
143,138,Newtown,Connecticut,US,27,28,2,29,12-12-14,Friday,20,Male,White American or European American,Multiple guns,0,1,2,3,0,3,Deceased,Suicide,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Unknown,Yes,Unknown,SPK,41.41190846,-73.31196267
144,139,Albuquerque,New Mexico,US,5,5,0,5,13-01-19,Saturday,15,Male,Some other race,Multiple guns,2,2,0,4,0,1,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Family,Mental illness,Yes,Unknown,MM,35.15290522,-106.7791378
145,140,Phoenix,Arizona,US,2,3,1,3,13-01-30,Wednesday,70,Male,White American or European American,Multiple guns,0,1,2,3,0,3,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Legal dispute,Unknown,Unknown,MS,33.57145875,-112.0904854
146,141,Irvine,California,US,4,5,3,7,13-02-03,Sunday,33,Male,Black American or African American,Multiple guns,0,2,5,7,0,4,Escaped,Not applicable,No,Residential home/Neighborhood,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Yes,SPK,33.67803464,-117.773628
147,142,Ladera Ranch,California,US,3,4,3,6,13-02-19,Tuesday,20,Male,White American or European American,Shotgun,1,0,0,1,0,0,Deceased,Suicide,No,Street/Highway,Place of residency,General public,Unknown,Yes,Unknown,MS,33.54961059,-117.6415707
148,154,Mohawk,New York,US,4,5,2,6,13-03-13,Wednesday,64,Male,White American or European American,Shotgun,1,0,0,1,0,0,Deceased,Killed,No,Retail/Wholesale/Services facility,Place of residency,Colleague/Workmate/Business acquaintance,Financial dispute,No,Unknown,SPK,43.0104011,-75.0075119
149,143,Federal Way,Washington,US,4,5,0,4,13-04-21,Sunday,27,Male,Black American or African American,Multiple guns,1,0,1,2,0,1,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,Romantic partner,Domestic dispute,Unknown,Unknown,MM,47.30909721,-122.3357553
150,144,Manchester,Illinois,US,6,7,1,7,13-04-24,Wednesday,43,Male,White American or European American,Multiple guns,1,1,0,2,0,0,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,Romantic partner,Domestic dispute,Unknown,Unknown,MM,39.54231335,-90.33029852
151,145,Santa Monica,California,US,5,6,3,8,13-06-07,Friday,23,Male,White American or European American,Multiple guns,0,1,1,2,0,1,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,Family,Mental illness,Yes,Unknown,SPK,34.02319149,-118.4815644
152,146,Hialeah,Florida,US,6,7,0,6,13-07-26,Friday,42,Male,Some other race,Handgun,0,0,1,1,0,1,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,General public,Multiple motives,No,Unknown,MM,25.85294547,-80.28316975
153,147,Salisbury,Pennsylvania,US,3,3,3,6,13-08-05,Monday,59,Male,White American or European American,Multiple guns,0,1,1,2,0,1,Arrested,Not applicable,No,Government facility,Local government,Government,Legal dispute,No,Unknown,MS,39.75344279,-79.08435956
154,156,Dallas,Texas,US,4,4,4,8,13-08-07,Wednesday,44,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Romantic partner,Domestic dispute,Unknown,Yes,SPK,32.79480596,-96.76631094
155,148,Oklahoma City,Oklahoma,US,4,4,0,4,13-08-14,Wednesday,40,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Family,Mental illness,Yes,Unknown,MM,35.46779189,-97.5191631
156,149,Washington,District of Columbia,US,12,13,3,15,13-09-16,Monday,34,Male,Black American or African American,Multiple guns,1,0,1,2,0,1,Deceased,Killed,No,Military facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Yes,MM,38.90480894,-77.01629717
157,150,Sparks,Nevada,US,1,2,2,3,13-10-21,Monday,12,Male,Some other race,Handgun,0,0,1,1,0,1,Deceased,Suicide,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Harassment,Unknown,Unknown,MS,39.54058388,-119.748291
158,155,Los Angeles,California,US,1,1,3,4,13-11-01,Friday,23,Male,White American or European American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,No,Public transportation,None,Government,Political/Religious ideals,No,Unknown,MS,34.17622092,-118.5399542
159,156,Montgomery,Alabama,US,3,3,5,8,13-12-28,Saturday,25,Male,Black American or African American,Handgun,0,0,2,2,0,2,Arrested,Not applicable,No,Entertainment venue,Place of recreation,Social,Social dispute,No,Unknown,MS,32.34729571,-86.26730242
160,167,Alturas,California,US,4,4,2,6,14-02-20,Thursday,44,Female,Native American or Alaska Native,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Government facility,Local government,Family,Legal dispute,No,Unknown,MM,41.4911123,-120.549091
161,157,San Francisco,California,US,0,0,8,8,14-03-23,Sunday,24.5,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Street/Highway,Place of recreation,General public,Social dispute,No,Unknown,MS,37.75457839,-122.4424343
162,158,Killeen,Texas,US,3,4,16,19,14-04-02,Wednesday,34,Male,Some other race,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Military facility,Place of business/employment,Government,Mental illness,Yes,Yes,MS,31.07925506,-97.73392317
163,159,Kennesaw,Georgia,US,0,1,6,6,14-04-29,Tuesday,19,Male,White American or European American,Shotgun,1,0,0,1,0,0,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Unknown,No,Unknown,MS,34.02529674,-84.61766831
164,160,Isla Vista,California,US,3,7,7,10,14-05-23,Friday,22,Male,White American or European American,Handgun,0,0,3,3,0,3,Deceased,Suicide,Yes,Residential home/Neighborhood,Place of residency,Social,Multiple motives,Yes,Unknown,MS,34.4145857,-119.8581209
165,161,Seattle,Washington,US,1,1,2,3,14-06-05,Thursday,26,Male,Some other race,Shotgun,1,0,0,1,0,0,Arrested,Not applicable,Yes,College/University/Adult education,None,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,47.62199575,-122.323646
166,162,Las Vegas,Nevada,US,3,5,0,3,14-06-08,Sunday,26.5,Male/Female,White American or European American,Multiple guns,0,1,1,2,0,2,Deceased,Killed/Suicide,No,Retail/Wholesale/Services facility,None,Government,Political/Religious ideals,No,Unknown,MS,36.18931923,-115.3264875
167,163,New Orleans,Louisiana,US,1,1,9,10,14-06-29,Sunday,20,Male,Two or more races,Handgun,0,0,2,2,0,2,Arrested/Escaped,Not applicable,No,Street/Highway,Unknown,Unknown,Social dispute,No,Unknown,MS,30.0687242,-89.93147412
168,164,Albuquerque,New Mexico,US,1,2,3,4,14-08-08,Friday,46,Male,Some other race,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Retail/Wholesale/Services facility,None,Social,Social dispute,No,Unknown,MS,35.15290522,-106.7791378
169,165,Marysville,Washington,US,4,5,1,5,14-10-24,Tuesday,15,Male,Native American or Alaska Native,Handgun,0,0,1,1,0,1,Deceased,Suicide,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Rejection,No,Unknown,MM,48.04802409,-122.1359622
170,166,Tallahassee,Florida,US,0,1,3,3,14-11-19,Thursday,31,Male,Black American or African American,Handgun,0,0,1,1,0,1,Deceased,Killed,Yes,College/University/Adult education,Place of schooling,General public,Mental illness,Yes,Unknown,MS,30.4549394,-84.25264151
171,185,Morgantown,West Virginia,US,4,5,0,4,14-12-01,Monday,39,Male,White American or European American,Handgun,0,0,1,1,0,0,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Social,Social dispute,No,Unknown,SPK,39.63400851,-79.94839325
172,169,Pennsburg,Pennsylvania,US,6,7,1,7,14-12-15,Monday,35,Male,White American or European American,Handgun,0,0,2,2,0,1,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Mutiple motives,Yes,Yes,SPK,40.39359306,-75.49640881
173,170,Memphis,Tennessee,US,0,0,5,5,15-01-01,Thursday,28,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Arrested,Not applicable,No,Public transportation,None,General public,Social dispute,No,Unknown,MS,35.10528976,-89.97734924
174,173,Moscow,Idaho,US,3,3,1,4,15-01-10,Friday,29,Male,Asian American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Family/Social,Unknown,No,Unknown,MS,46.73059479,-116.9990042
175,177,New York,New York,US,3,4,1,4,15-01-24,Saturday,34,Male,Black American or African American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,No,Unknown,MS,40.68996411,-73.8720502
176,180,Omaha,Nebraska,US,3,3,5,8,15-01-24,Saturday,32+Unknown,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Arrested/Escaped,Not applicable,No,Street/Highway,Unknown,Unknown,Unknown,No,Unknown,GD,41.265922,-96.05381421
177,178,LaGrange,Georgia,US,5,5,0,5,15-01-28,Wednesday,26,Male,White American or European American,Handgun,0,0,1,1,0,1,Escaped,Not applicable,No,Residential home/Neighborhood,Place of residency,Family,Unknown,No,Unknown,MM,33.03607062,-85.0287065
178,187,Syracuse,New York,US,0,0,6,6,15-02-01,Sunday,22,Male,Black American or African American,Handgun,0,0,1,1,Unknown,Unknown,Arrested,Not applicable,No,Entertainment venue,Place of recreation,Social,Rejection,No,Unknown,MS,43.04093416,-76.14376763
179,233,King,North Carolina,US,3,4,0,3,15-02-04,Wednesday,35,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,Unknown,Unknown,MS,36.27617912,-80.35501402
180,182,Monroeville,Pennsylvania,US,0,0,3,3,15-02-07,Saturday,17,Male,Black American or African American,Handgun,0,0,1,1,0,1,Escaped,Not applicable,No,Retail/Wholesale/Services facility,Place of recreation,Social,Social dispute,No,Unknown,MS,40.4257455,-79.76092565
181,186,Douglasville,Georgia,US,4,5,2,6,15-02-07,Saturday,33,Male,Black American or African American,Handgun,0,0,1,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Financial dispute,No,Unknown,MM,33.71059292,-84.71564276
182,183,New Port Richey,Florida,US,3,3,1,4,15-02-09,Monday,32,Male/Female,White American or European American/Some other Race,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Unknown,Unknown,Drug use,No,Unknown,GD,28.24653304,-82.71690259
183,181,Chapel Hill,North Carolina,US,3,3,0,3,15-02-10,Tuesday,46,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Residential home/Neighborhood,Place of residency,"Racial/Religious group
and Social",Multiple motives,No,Unknown,MS,35.92681467,-79.03850407
184,188,Clarkesville,Georgia,US,2,3,2,4,15-02-22,Sunday,41,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,No,Yes,MS,34.61025711,-83.52918091
185,189,Killeen,Texas,US,3,4,1,4,15-02-22,Sunday,30,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,No,Yes,MS,31.07925506,-97.73392317
